InteractionID,GhiChu,UserID,ProductID,InteractionType,Rating,InteractionTime,SoLanXem,ThoiGianXem
1,,65,496,view,,2025-05-13 00:40:50,2,143
2,,63,208,cart,,2025-05-13 00:41:45,1,0
3,,51,183,view,1,2025-05-13 00:44:35,6,134
4,,40,522,wishlist,,2025-05-13 00:43:09,1,0
5,,10,485,view,,2025-05-13 00:43:03,7,43
6,,95,291,view,,2025-05-13 00:44:53,8,165
7,,74,320,cart,4,2025-05-13 00:44:54,1,0
8,,27,510,view,,2025-05-13 00:44:24,10,175
9,Fall star but peace.,65,467,view,,2025-05-13 00:42:38,7,154
10,,40,517,view,2,2025-05-13 00:39:57,4,299
11,,18,66,view,,2025-05-13 00:43:44,1,292
12,,3,23,view,4,2025-05-13 00:43:24,1,125
13,,84,218,cart,,2025-05-13 00:40:15,1,0
14,Tax seek read there.,99,420,view,3,2025-05-13 00:41:51,10,17
15,,43,231,cart,,2025-05-13 00:42:30,1,0
16,,24,348,view,3,2025-05-13 00:45:24,4,254
17,,30,102,view,,2025-05-13 00:40:35,1,25
18,,55,449,cart,,2025-05-13 00:45:17,1,0
19,Tv fine firm season.,61,28,view,,2025-05-13 00:42:43,5,84
20,,41,117,cart,,2025-05-13 00:41:43,1,0
21,Describe music easy.,93,88,view,,2025-05-13 00:44:54,1,171
22,,51,242,view,,2025-05-13 00:44:42,5,64
23,,69,175,view,,2025-05-13 00:43:55,10,59
24,On community laugh arm floor give hour.,57,354,view,,2025-05-13 00:43:11,4,163
25,,61,219,cart,,2025-05-13 00:44:51,1,0
26,Maintain green wide pretty.,23,39,view,3,2025-05-13 00:41:04,5,261
27,,9,199,view,,2025-05-13 00:43:47,2,39
28,Require push garden government talk agency ground.,100,306,view,4,2025-05-13 00:44:57,8,70
29,,62,11,view,4,2025-05-13 00:42:55,5,188
30,Letter direction send oil million floor benefit.,38,526,cart,5,2025-05-13 00:45:24,1,0
31,,89,478,cart,1,2025-05-13 00:42:37,1,0
32,,72,243,view,,2025-05-13 00:45:15,8,276
33,,52,375,cart,4,2025-05-13 00:41:01,1,0
34,,2,24,cart,,2025-05-13 00:42:57,1,0
35,,31,475,view,,2025-05-13 00:43:02,4,252
36,,24,140,cart,,2025-05-13 00:42:56,1,0
37,Far talk seem peace economic.,90,40,view,2,2025-05-13 00:43:56,3,175
38,,40,31,cart,,2025-05-13 00:42:15,1,0
39,,7,327,view,,2025-05-13 00:44:56,3,102
40,,100,408,cart,,2025-05-13 00:41:34,1,0
41,,19,255,cart,,2025-05-13 00:43:19,1,0
42,,9,140,cart,1,2025-05-13 00:42:05,1,0
43,Smile billion me kitchen.,75,220,view,3,2025-05-13 00:40:37,3,139
44,Pay report chair.,16,289,view,,2025-05-13 00:42:20,8,15
45,Example picture significant tax quite.,3,274,view,2,2025-05-13 00:42:16,6,123
46,,91,378,view,,2025-05-13 00:40:03,10,292
47,,99,6,view,,2025-05-13 00:44:22,3,80
48,,49,487,view,,2025-05-13 00:42:46,3,203
49,,24,181,view,,2025-05-13 00:43:44,1,210
50,,94,419,view,1,2025-05-13 00:42:52,3,165
51,,42,28,view,,2025-05-13 00:40:45,9,35
52,,62,526,view,,2025-05-13 00:40:24,4,206
53,While note together commercial finish morning tree.,87,313,view,,2025-05-13 00:45:07,3,166
54,,83,301,view,2,2025-05-13 00:43:26,4,118
55,,49,80,view,,2025-05-13 00:45:41,9,92
56,Movement person test another husband however.,6,138,cart,,2025-05-13 00:44:03,1,0
57,,93,532,view,,2025-05-13 00:43:44,5,14
58,,14,492,cart,,2025-05-13 00:44:18,1,0
59,,31,176,wishlist,3,2025-05-13 00:41:28,1,0
60,,89,528,view,,2025-05-13 00:43:10,8,238
61,Culture rock design sing campaign study government.,44,93,wishlist,3,2025-05-13 00:45:49,1,0
62,,95,183,view,,2025-05-13 00:40:37,10,171
63,,3,413,view,,2025-05-13 00:45:18,7,253
64,,95,51,view,,2025-05-13 00:43:50,2,130
65,,65,123,view,2,2025-05-13 00:40:09,5,265
66,Lay pick way daughter provide pattern tax.,45,466,view,,2025-05-13 00:41:11,3,111
67,Various increase late herself.,39,215,view,,2025-05-13 00:44:48,2,300
68,,46,196,view,,2025-05-13 00:40:28,3,209
69,,68,443,wishlist,1,2025-05-13 00:44:05,1,0
70,Agency onto important protect key always tell just.,87,154,cart,,2025-05-13 00:40:45,1,0
71,,90,338,wishlist,4,2025-05-13 00:44:40,1,0
72,Weight office surface we.,50,397,wishlist,,2025-05-13 00:45:26,1,0
73,,55,397,wishlist,,2025-05-13 00:40:44,1,0
74,Weight animal best important structure deep beat.,22,320,view,,2025-05-13 00:41:21,2,260
75,Seem degree word learn.,83,324,view,,2025-05-13 00:42:23,9,53
76,Agreement middle those final bar teach just.,84,27,view,,2025-05-13 00:43:39,5,248
77,Interesting tell seat music movement early hand.,66,242,view,,2025-05-13 00:40:28,1,120
78,Less thing enter.,81,374,cart,,2025-05-13 00:43:24,1,0
79,,46,22,view,,2025-05-13 00:44:39,2,63
80,,99,309,view,,2025-05-13 00:45:48,9,35
81,,16,309,view,,2025-05-13 00:43:02,7,135
82,,100,258,view,1,2025-05-13 00:45:42,9,42
